,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,R2 Score,Round Number
0,0.388898394,0.888888889,0.833333333,1,0.944444444,0.611111111,1
1,0.520457896,0.833333333,0.875,0.8,0.7625,0.833333333,1
2,0.601922137,0.882352941,0.857142857,0.9,0.814285714,0.764705882,1
3,0.477306974,0.888888889,0.9,0.875,0.8,0.666666667,2
4,0.518241301,0.833333333,0.7,1,0.925,0.777777778,2
5,0.598208679,0.823529412,0.857142857,0.8,0.785714286,0.823529412,2
6,0.540385772,0.944444444,1,0.888888889,0.888888889,0.944444444,3
7,0.480680683,0.777777778,0.625,0.9,0.6875,0.666666667,3
8,0.508673538,0.882352941,0.9,0.857142857,0.842857143,0.823529412,3
9,0.534419896,0.888888889,0.75,1,0.8375,0.888888889,4
10,0.415676388,0.777777778,0.888888889,0.666666667,0.740740741,0.722222222,4
11,0.51926478,0.882352941,0.9,0.857142857,0.814285714,0.647058824,4
12,0.5,0.833333333,1,0.727272727,0.779220779,0.777777778,5
13,0.523988147,0.777777778,0.555555556,1,0.679012346,0.777777778,5
14,0.451996187,0.941176471,1,0.833333333,0.96969697,0.529411765,5
15,0.375205344,0.833333333,1,0.666666667,0.728395062,0.777777778,6
16,0.518507611,0.944444444,0.9,1,0.9875,0.777777778,6
17,0.373416446,0.764705882,0.75,0.777777778,0.722222222,0.705882353,6
18,0.74616634,0.722222222,0.7,0.75,0.7,0.722222222,7
19,0.42831609,0.888888889,0.909090909,0.857142857,0.818181818,0.611111111,7
20,0.610773165,1,1,1,1,0.352941176,7
21,0.459906458,0.888888889,0.888888889,0.888888889,0.925925926,0.833333333,8
22,0.622676341,0.833333333,0.818181818,0.857142857,0.727272727,0.722222222,8
23,0.519133668,0.882352941,1,0.8,0.842857143,0.882352941,8
24,0.486719782,0.777777778,0.833333333,0.75,0.666666667,0.722222222,9
25,0.515729086,0.888888889,0.818181818,1,0.896103896,0.833333333,9
26,0.424703815,1,1,1,1,0.764705882,9
27,0.368203676,0.888888889,0.909090909,0.857142857,0.831168831,0.666666667,10
28,0.540303419,0.777777778,0.75,0.833333333,0.722222222,0.666666667,10
29,0.653505606,0.941176471,1,0.923076923,0.923076923,0.235294118,10